,Unnamed: 0,id,artists,name,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,spotify_popularity
95,95,4uxsv9PjV3Yeyn51RdWvGJ,Johnny Mathis,Misty,1950,0.216,0.267,8,-13.561,1,0.0351,0.876,2.7e-05,0.109,0.218,82.098,216573,4,55.0
96,96,7vAw4LLIms6X8ZHcbtoazz,Dion & The Belmonts,I Wonder Why,1950,0.506,0.699,10,-3.834,1,0.0348,0.569,0.0,0.158,0.901,103.463,141387,4,53.0
97,97,0Jbcki0GtjK4CdPlmZO8XR,Phil Phillips,Sea of Love,1950,0.399,0.458,7,-9.828,1,0.0283,0.915,0.00112,0.165,0.304,85.509,142360,4,28.0
98,98,6zwvB879PJSpTyFcg2wwnL,Percy Faith & His Orchestra,"The Theme from ""A Summer Place""",1950,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,142693,3,55.0
99,99,4bzvhZFlV9UqQ3EmV2i8s4,Connie Francis,Who's Sorry Now,1950,0.522,0.326,3,-6.448,1,0.0273,0.755,2.26e-05,0.36,0.443,87.535,136627,4,53.0
100,100,6bnFjTW3EnMG4BwreDnSHK,The Fleetwoods,Mr. Blue,1950,0.374,0.0889,4,-17.475,1,0.0356,0.931,6.88e-06,0.111,0.211,96.677,145133,4,55.0
101,101,3KSchPNSklO5McIqRH3qYX,Muddy Waters,I'm Your Hoochie Coochie Man,1950,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,238533,3,54.0
102,102,4OnqJ1ml4Jgr5AAKNrrYCD,The Coasters,Down in Mexico,1950,0.614,0.589,1,-8.667,1,0.0573,0.7,0.0,0.069,0.894,111.879,196467,4,53.0
103,103,1xVOttVNT27FBTD8iHjOfU,Conway Twitty,It's Only Make Believe,1950,0.461,0.466,11,-9.627,1,0.0598,0.86,2.76e-05,0.135,0.251,128.537,132027,4,54.0
104,104,4mQz22nF9cyWqwuErTqc6V,Billie Holiday,Crazy He Calls Me,1950,0.483,0.145,1,-14.423,1,0.039,0.849,3.5e-06,0.214,0.284,72.863,185280,4,56.0
105,105,3mKdw0slI6wmnb1FBrvwn2,Frank Sinatra,I Get A Kick Out Of You,1950,0.395,0.375,5,-10.966,0,0.0381,0.555,0.0,0.576,0.775,178.105,194093,4,54.0
106,106,0BHroBUvBAp561BYqC9LRK,Patti Page,Tennessee Waltz - 1950 Single Version,1950,0.373,0.124,5,-12.95,1,0.0342,0.969,0.000891,0.123,0.351,86.857,185000,3,54.0
107,107,1Qn5jElT7XqjvVeJ8pYM2w,Ricky Nelson,A Teenager's Romance,1950,0.51,0.484,10,-6.942,1,0.038,0.784,0.0,0.306,0.683,103.356,140773,3,53.0
108,108,1eqGYJJr2z2GXK1i0hD3BC,Pat Boone,Love Letters In The Sand - Single Version,1950,0.571,0.196,3,-13.216,1,0.0278,0.811,0.0,0.142,0.555,88.728,134560,4,55.0
109,109,2R7uUQ0Dehu80gsOcydQC9,Bo Diddley,Bo Diddley,1950,0.809,0.701,0,-12.484,1,0.0574,0.176,0.0,0.184,0.563,105.696,149013,4,52.0
110,110,1ye9IP87nKYZ5YAGaEv9A1,Thurston Harris,Little Bitty Pretty One,1950,0.704,0.87,8,0.844,1,0.218,0.795,2.45e-06,0.0558,0.932,88.019,143053,4,55.0
111,111,5KG2ahk1cONbHvg3dBdTbx,Bobby Vinton,Mr. Lonely,1950,0.245,0.293,4,-10.361,1,0.0303,0.817,0.0,0.177,0.344,168.984,161373,3,53.0
112,112,24lvdbt9pS7DFEjhEWSl49,Sam Cooke,You Send Me,1950,0.558,0.311,4,-9.582,0,0.0288,0.887,0.0,0.118,0.415,95.978,163480,4,56.0
113,113,1N131UBLlYAUJNVpHOfEc1,The Monotones,The Book of Love,1950,0.428,0.594,10,-12.716,1,0.379,0.734,0.0,0.567,0.556,198.67,138298,4,52.0
114,114,3nUrhP3KuK4R1qdxRk2Kgo,Connie Francis,Stupid Cupid,1950,0.609,0.794,3,-4.739,1,0.0389,0.734,6.18e-05,0.0479,0.968,136.036,133747,4,52.0
115,115,2lmPUdIdzlFH64PWJrw6Zb,Tommy Edwards,It's All In The Game,1950,0.384,0.276,3,-13.527,1,0.0295,0.038,0.0,0.309,0.654,105.181,159040,3,56.0
116,116,4BH8EuPAxeFAh1rSWtnGdD,Tony Bennett,Rags to Riches,1950,0.409,0.435,2,-9.399,1,0.0453,0.907,7.17e-06,0.0559,0.567,78.136,168480,4,53.0
117,117,7Gpx2fNJiilvrf9Ss8qbit,Neil Sedaka,Calendar Girl,1950,0.703,0.649,8,-7.727,0,0.0312,0.397,0.0,0.209,0.862,122.719,159693,4,51.0
118,118,14bUqUj1EUnQabWeAqnj39,The Champs,Tequila (Original),1950,0.532,0.961,10,-4.056,1,0.0522,0.0519,0.905,0.0738,0.753,90.647,130320,4,51.0
119,119,5VLKQp1YTubqXJ02HnViz5,The Spaniels,"Goodnight, Sweetheart, Goodnight",1950,0.558,0.243,7,-13.419,1,0.0459,0.517,0.0,0.144,0.342,72.871,160280,4,52.0
120,120,5ayybTSXNwcarDtxQKqvWX,Ricky Nelson,Poor Little Fool - Remastered,1950,0.474,0.338,0,-11.528,1,0.0299,0.648,0.0,0.13,0.81,154.596,153933,4,53.0
121,121,6sAcECONsANle5n0rnP2at,Johnny Mathis & Ray Conniff,Chances Are (with Ray Conniff & His Orchestra),1950,0.212,0.316,10,-9.429,1,0.0314,0.885,0.0,0.103,0.271,83.597,182440,4,52.0
122,122,09hxCc0SgV8u46gWsfeqJA,Chuck Berry,Rock And Roll Music,1950,0.529,0.768,8,-6.201,1,0.0446,0.418,0.000947,0.0655,0.871,165.225,151773,4,52.0
123,123,1ntGJDSakqsaw1KhptKrB5,The Platters,My Prayer,1950,0.359,0.272,10,-8.393,1,0.0294,0.812,0.0,0.095,0.254,109.249,167800,3,52.0
